"tweet_type","id","created_at","username","user_display_name","text","lang","source","retweet_count","favorite_count","reply_count","quote_count","bookmark_count","view_count","has_media","media_type","media_urls","video_url","video_duration","thumbnail_url","conversation_id_str","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","quoted_status_id_str","quoted_user_id_str","retweeted_status_id_str"
"quote","2026801420872093708","2026-02-25T23:28:09.000Z","Hesamation","ℏεsam","this Obsidian + AI is the new hot combo.
few people know that the CEO of Obsidian @kepano has made multiples skills for Claude Code and Codex that you can use right now both for your codebase and your personal vault.","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","211","3134","52","11","5925","440698","true","photo","https://pbs.twimg.com/media/HCClJmHXQAARvP7.jpg",,,"https://pbs.twimg.com/media/HCClJmHXQAARvP7.jpg","2026801420872093708",,,,"2026628809424781787","1025386932791074816",
"original","2042683393247449148","2026-04-10T19:17:26.000Z","kepano","kepano","I can't go back to the regular YouTube UI after this 😅

Obsidian Reader now makes the transcript interactive so you can scrub, highlight, auto-scroll. It feels so nice.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","836","12228","225","103","10368","763802","true","video","https://pbs.twimg.com/amplify_video_thumb/2042678525627633664/img/r-KNUFvnCDyqk2O3.jpg","https://video.twimg.com/amplify_video/2042678525627633664/vid/avc1/2756x2160/Pn6Y6f1MjrW6JOIS.mp4?tag=21","206","https://pbs.twimg.com/amplify_video_thumb/2042678525627633664/img/r-KNUFvnCDyqk2O3.jpg","2042683393247449148",,,,,,
"original","2043762213597397179","2026-04-13T18:44:17.000Z","defileo","Defileo🔮","http://x.com/i/article/2043662409521356800","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","116","970","13","16","3170","1020023","false","none",,,,,"2043762213597397179",,,,,,
"quote","2043763616030073150","2026-04-13T18:49:52.000Z","noisyb0y1","Noisy","Chinese student spent $4,000 on two Mac Studios and a Mac Mini and built a Claude + Obsidian bot

Claude and Obsidian scan hundreds of factors simultaneously. a human physically can't work with more than 2-3 processes at once. the machine does 12 microprocesses in seconds.

three commands: 
/wiki - initialization
/save - save the conversation
/autoresearch - deep research on a topic with automatic citations.

stuck stickers on them: UI/UX. DEV. ADMIN

Three computers do one thing: Claude + Obsidian pulls live data that the developer feeds in and builds the product. updates every 1-3 hours running 24/7","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","371","3797","98","18","6689","892575","true","video","https://pbs.twimg.com/amplify_video_thumb/2043763113301082112/img/PhmeF7zDoGWg4vne.jpg","https://video.twimg.com/amplify_video/2043763113301082112/vid/avc1/1920x1080/7oTu2HT6fTxfgrWW.mp4?tag=21","13","https://pbs.twimg.com/amplify_video_thumb/2043763113301082112/img/PhmeF7zDoGWg4vne.jpg","2043763616030073150",,,,"2043762213597397179","1663262095868084228",
"original","2052235121416188114","2026-05-07T03:52:36.000Z","cyrilXBT","CyrilXBT","http://x.com/i/article/2052202263263744010","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","505","4234","120","68","15530","3574366","false","none",,,,,"2052235121416188114",,,,,,
"quote","2052361597000032594","2026-05-07T12:15:10.000Z","cyrilXBT","CyrilXBT","Obsidian + Claude Code = 24/7 personal operating system.

Works while you sleep.

The people who build this tonight will never work the same way again.

Watch it and Bookmark it now.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","317","2614","72","13","6728","439237","true","video","https://pbs.twimg.com/amplify_video_thumb/2052360473471823881/img/UYZr6J32iiQoRV-L.jpg","https://video.twimg.com/amplify_video/2052360473471823881/vid/avc1/1280x720/5oHJq9zufKAxgv52.mp4?tag=27","3536","https://pbs.twimg.com/amplify_video_thumb/2052360473471823881/img/UYZr6J32iiQoRV-L.jpg","2052361597000032594",,,,"2052235121416188114","1373665408193036293",
"original","2052714650483970066","2026-05-08T11:38:04.000Z","DamiDefi","Dami-Defi","http://x.com/i/article/2052313324927258628","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","28","213","15","3","322","75646","false","none",,,,,"2052714650483970066",,,,,,
"quote","2052753374160838896","2026-05-08T14:11:57.000Z","alphabatcher","Alpha Batcher","Most Obsidian vaults fail at the same place:

capture works, return never happens.

You save ideas, highlights, numbers, hooks, screenshots.

Then 6 months later the vault has 400 notes and no idea what to write next.

Build the return path instead:

1. Use 5 folders

00-INBOX
01-CAPTURES
02-CONNECTIONS
03-BRIEFS
04-PUBLISHED

2. Sort captures by type, not topic

> observations
> reactions
> patterns
> questions
> numbers

Topic folders hide useful collisions. Type folders help Claude connect ""attention psychology"" to ""X hook performance.""

3. Put Claude Code files where Claude actually reads them

> ./CLAUDE.md or ./.claude/CLAUDE.md
> .claude/skills/process-inbox/SKILL.md
> .claude/skills/weekly-connections/SKILL.md
> .claude/skills/generate-brief/SKILL.md
> .claude/skills/write-content/SKILL.md

4. Log performance in every published post

> impressions
> bookmarks
> hook_used
> top_comment
> what_worked

Build the path that turns saved notes into briefs, posts, and performance data:

capture -> connection -> brief -> post -> result -> next brief","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","25","333","30","1","659","50331","true","video","https://pbs.twimg.com/amplify_video_thumb/2052751586602971144/img/5p64bc3PbKDCaL5T.jpg","https://video.twimg.com/amplify_video/2052751586602971144/vid/avc1/640x360/4l4SuTjgfLkSz3KL.mp4?tag=27","1293","https://pbs.twimg.com/amplify_video_thumb/2052751586602971144/img/5p64bc3PbKDCaL5T.jpg","2052753374160838896",,,,"2052714650483970066","552936387",
"original","2052923836090167526","2026-05-09T01:29:18.000Z","cyrilXBT","CyrilXBT","http://x.com/i/article/2052392363578834945","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","40","452","17","8","1303","156408","false","none",,,,,"2052923836090167526",,,,,,
"quote","2053095235471761714","2026-05-09T12:50:23.000Z","cyrilXBT","CyrilXBT","Obsidian + Claude Code = 24/7 personal operating system.

Works while you sleep.

The people who build this tonight will never work the same way again.

Watch it and Bookmark it now.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","84","783","28","4","1799","231021","true","video","https://pbs.twimg.com/amplify_video_thumb/2053095035260784640/img/9sA6jmvfI584vh_z.jpg","https://video.twimg.com/amplify_video/2053095035260784640/vid/avc1/640x360/7nCBSLnv2X80agh0.mp4?tag=27","883","https://pbs.twimg.com/amplify_video_thumb/2053095035260784640/img/9sA6jmvfI584vh_z.jpg","2053095235471761714",,,,"2052923836090167526","1373665408193036293",
